3000,20000,9267000,177000,9766000,81000
3000,31000,17000,164000,102000,47000
3000,215000,99000,1621000,55000,973000
3000,190000,81000,530000,101000,560000
4000,1843000,835000,15843000,36000,3469000
4000,1821000,238000,6791000,110000,4634000
5000,40000,9814000,218000,11063000,95000
4000,27000,12000,145000,107000,56000
6000,323000,149000,2170000,1179000,1774000
4000,370000,142000,972000,2791000,1028000
7000,3247000,1453000,43943000,22977000,16825000
8000,1244000,462000,19668000,131962000,15982000
3000,29000,6800000,374000,12062000,155000
3000,26000,12000,147000,82000,53000
6000,340000,132000,1274000,1562000,1473000
5000,336000,142000,982000,2302000,317000
5000,2309000,922000,34405000,20323000,12681000
7000,1271000,265000,16260000,133925000,14212000
3000,38000,6592000,252000,13626000,115000
3000,26000,12000,109000,82000,55000
5000,340000,159000,857000,1005000,1538000
3000,250000,92000,615000,2119000,525000
8000,2731000,1167000,30407000,21097000,13106000
5000,1196000,463000,23225000,144295000,14529000
7000,46000,8942000,395000,16698000,183000
3000,30000,13000,106000,129000,61000
4000,321000,164000,1758000,1653000,1920000
3000,269000,98000,631000,1601000,577000
7000,3235000,1715000,49519000,37449000,18463000
7000,1048000,493000,18192000,125925000,15437000
8000,39000,12003000,476000,12193000,172000
5000,43000,19000,207000,150000,99000
4000,29000,6267000,228000,14779000,171000
2000,27000,12000,109000,76000,54000
8000,36000,7691000,311000,15657000,136000
5000,44000,21000,255000,157000,89000
